ASUSAccount
Branch	APK Version	TT Bugs	Change Link	Tags	Message	Commit Id
A500CG_MR4 [rel/a500cg/asus/4.3-1.15.40]	V1.6.0.140623	416504		dev/a600cg/multi-1.15.40.17	 V1.6.0.140623 1. picture displayed unnormal when mobile insert into pad or pull out of pad; disable HomeCloud for Japanese;3. change login logic" into rel/a500cg/asus/4.3-1.15.40	e6e53d2	
PF500KL_KK [KK-mr1-PF500KL-11.10.0.118-RC]	V1.6.9.1	398168, 298379, 397100	http://amax01:8080/130287	044000243_201404231100	 V1.6.9.1 1. fixed AP will crash if shutdown WiFi during login; 2. change judge integrate logical	4d49eed	
PF450CL_TA [KK-mr1-PF450CL-11.30.0.10-TA]	V1.6.9.1	398168, 298379, 397100	http://amax01:8080/130287	044000243_201404231100	 V1.6.9.1 1. fixed AP will crash if shutdown WiFi during login; 2. change judge integrate logical	4d49eed	
PF450CL_AVL [KK-mr1-PF450CL-11.26.0.9-AVL]	V1.6.9.1	398168, 298379, 397100	http://amax01:8080/130287	044000243_201404231100	 V1.6.9.1 1. fixed AP will crash if shutdown WiFi during login; 2. change judge integrate logical	4d49eed	
A68_KK [KK-mr1-A68-11.8.0.53-RC]	V1.6.23.140605	417193, 419526, 420518	http://mcrd1-22-pc.corpnet.asus/code-review/master/129107	A68_11.8.2.24	 V1.6.23.140605 1. A blank picture will appear is hit advance setting in setting of ASUS account; 2. add AuCloud function; 3. add translation of Japanese.	670eb27	
A80_KK [KK-mr1-8064-dev]	V1.6.23.140605	417193, 419526, 420518	http://mcrd1-22-pc.corpnet.asus/code-review/master/129104	A80_11.8.0.73	 V1.6.23.140605 1. A blank picture will appear is hit advance setting in setting of ASUS account; 2. add AuCloud function; 3. add translation of Japanese.	61ee2a9	
A80_KK_91 [KK-mr1-A80-11.8.0.91-RC]	V1.6.23.140605	417193, 419526, 420518	http://mcrd1-22-pc.corpnet.asus/code-review/master/129104	A80_11.8.0.73	 V1.6.23.140605 1. A blank picture will appear is hit advance setting in setting of ASUS account; 2. add AuCloud function; 3. add translation of Japanese.	61ee2a9	
A500KL_KK [KK-mr1-A500KL-11.4.0.30-RC]	V1.0.0.140613	417193, 419987, 420371, 420518	http://mcrd1-22-pc.corpnet.asus/code-review/master/130429	A500KL_11.4.5.69	 V1.0.0.140613 1. add strings translation of Japanese;2. white blank picture will appear when hit HomeCloud or WebStorage in Advanced settings;3. OneDrive will crash when cancel security dialog; 4. toast pop up in a wrong way	681861c	
A450CG_KK [CLVP_KK4.4_WW52_AMAX1.0_A450CG]				A450CG_V3.0.0_WW52_TW_WW		a68ea53	
ME372CG_KK [CLVP_KK4.4_WW52_AMAX1.0_ME372CG]	V1.6.0.140623	416504	http://mcrd3-01.corpnet.asus/code-review/master/32624	ME372CG_V6.3.5_WW52_CN_JP_CHT_TIM	 V1.6.0.140623 1. picture displayed unnormal when mobile insert into pad or pull out of pad; disable HomeCloud for Japanese;3. change login logic	0bf7a91	
PF400CG_JB [CLVP_JB4.3_WW38_AMAX1.0_PF400CG]	V1.6.0.140613	417193, 419526, 419987, 420371, 420518	http://mcrd3-01.corpnet.asus/code-review/master/30943	PF400CG_V4.1.2_WW38_SH	 V1.6.0.140613 1. add strings translation of Japanese;2. white blank picture will appear when hit HomeCloud or WebStorage in Advanced settings;3. OneDrive will crash when cancel security dialog; 4. toast pop up in a wrong way; 5. blank picture will appear if hit WebStorage or HomeCloud in Advanced Settings	f7bd675	
A400CG_JB [CLVP_JB4.3_WW38_AMAX1.0_A400CG]	V1.6.0.140623	416504	http://mcrd3-01.corpnet.asus/code-review/master/32621		 V1.6.0.140623 1. picture displayed unnormal when mobile insert into pad or pull out of pad; disable HomeCloud for Japanese;3. change login logic	e399937	
FE170CG/ME170C/ME70C/ME70CX [jb-mr2-ctp-r1]	V1.6.0.140613	417193, 419526, 419987, 420371, 420518	http://mcrd1-5.corpnet.asus/code-review/master/137705	10.32.1.30.1	 V1.6.0.140613 1. add strings translation of Japanese;2. white blank picture will appear when hit HomeCloud or WebStorage in Advanced settings;3. OneDrive will crash when cancel security dialog; 4. toast pop up in a wrong way; 5. blank picture will appear if hit WebStorage or HomeCloud in Advanced Settings	d7fb652	
TF701T_P1802_KK [kk-t40-r1]	V1.6.0.140623	416504	http://mcrd1-5.corpnet.asus/code-review/master/139512	11.4.1.14	 V1.6.0.140623 1. picture displayed unnormal when mobile insert into pad or pull out of pad; disable HomeCloud for Japanese;3. change login logic	7ad3282	
TF103CG_KK [kk-mr0-ctp-r2]	V3.2.04		http://amax01:8080/131876	044000255_201405090027	 Update to V3.2.04 for ME581 KDDI.	f44f1a1	
ME560CG_KK [kk-mr0-ctp-r1]	V1.5.55.1		http://amax01:8080/128440	044000231_201404070024	 V1.5.55.1 1. change AuCloud icon; 2. modify th mananer of ASUS checking WiFi	08daa39	
ME176C [dev/me176c/asus/4.4.2]	V1.6.22.140529.	416648, 416721, 417195, 417197		K013-dev-debug-3.0.12.176	 V1.6.22.140529. 1. Less of resource; 2. Integration logic error" into dev/me176c/asus/4.4.2	0307014	
ME181C [dev/me181c/asus/4.4.2]	V1.6.0.140623	416504		K011-dev-debug-3.1.22.165	 V1.6.0.140623 1. picture displayed unnormal when mobile insert into pad or pull out of pad; disable HomeCloud for Japanese;3. change login logic" into dev/me181c/asus/4.4.2	eeaf5a7	
