DeskClock - vendor
Branch,Tags,APK Version,TT Bugs,Change Link,Message,Commit Id
A500CG_MR4 [rel/a500cg/asus/4.3-1.15.40],dev/a500cg/multi-1.15.40.18,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui." into rel/a500cg/asus/4.3-1.15.40,f535b6f,
PF500KL_KK [KK-mr1-PF500KL-11.10.0.118-RC],PF500KL_11.10.10.1,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,http://mcrd1-22-pc.corpnet.asus/code-review/master/131935, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui.,781b786,
PF450CL_TA [KK-mr1-PF450CL-11.30.0.10-TA],PF450CL_11.26.0.6,v1.0.0.140611,423911 & 423044,http://mcrd1-22-pc.corpnet.asus/code-review/master/130139, v1.0.0.140611 release: widget ja string for me581,398af92,
PF450CL_AVL [KK-mr1-PF450CL-11.26.0.9-AVL],PF450CL_11.26.0.6,v1.0.0.140611,423911 & 423044,http://mcrd1-22-pc.corpnet.asus/code-review/master/130139, v1.0.0.140611 release: widget ja string for me581,398af92,
A68_KK [KK-mr1-A68-11.8.0.53-RC],A68_11.8.4.2,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,http://mcrd1-22-pc.corpnet.asus/code-review/master/131937, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui.,e421022,
A80_KK [KK-mr1-8064-dev],A80_11.8.0.92,v1.0.0.140630,000618 & 408676 & 417701 & 428538 & 431201 & 429662 & 426513,http://mcrd1-22-pc.corpnet.asus/code-review/master/133018, v1.0.0.140630 released! 1.Restore the alarm db when image update from 4.3 to 4.4; 2.fix A500KL CTA gating bug 428538: snooze will be disabled when add a new alarm.,567b190,
A80_KK_91 [KK-mr1-A80-11.8.0.91-RC],A80_11.8.0.89,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,http://mcrd1-22-pc.corpnet.asus/code-review/master/131938, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui.,b3dfe4a,
A500KL_KK [KK-mr1-A500KL-11.4.0.30-RC],A500KL_11.4.5.72,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,http://mcrd1-22-pc.corpnet.asus/code-review/master/131939, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui.,a783a57,
A450CG_KK [CLVP_KK4.4_WW52_AMAX1.0_A450CG],A450CG_V4.0.3_WW52_WW_TW,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,http://mcrd3-01.corpnet.asus/code-review/master/32863, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui.,517d1d1,
ME372CG_KK [CLVP_KK4.4_WW52_AMAX1.0_ME372CG],ME372CG_V6.3.5_WW52_CN_JP_CHT_TIM,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,http://mcrd3-01.corpnet.asus/code-review/master/32866, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui.,10acb25,
PF400CG_JB [CLVP_JB4.3_WW38_AMAX1.0_PF400CG],PF400CG_V4.1.2_WW38_SH,v1.0.0.140611,423911 & 423044,http://mcrd3-01.corpnet.asus/code-review/master/30499, v1.0.0.140611 release: widget ja string for me581,816302f,
A400CG_JB [CLVP_JB4.3_WW38_AMAX1.0_A400CG],A400CG_V4.3.3_WW38_WW,v1.0.0.140611,423911 & 423044,http://mcrd3-01.corpnet.asus/code-review/master/30475, v1.0.0.140611 release: widget ja string for me581,aa31089,
FE170CG/ME170C/ME70C/ME70CX [jb-mr2-ctp-r1],10.32.1.30.3,v1.0.0.140617,423044 & 423911,http://mcrd1-5.corpnet.asus/code-review/master/138129, v1.0.0.140617 released. Refined APK Size for FE170CG,e44ac35,
TF701T_P1802_KK [kk-t40-r1],11.4.1.14,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,http://mcrd1-5.corpnet.asus/code-review/master/139801, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui.,aa44cbf,
TF103CG_KK [kk-mr0-ctp-r2],11.2.2.10,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,http://mcrd1-5.corpnet.asus/code-review/master/139802, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui.,51e968f,
ME560CG_KK [kk-mr0-ctp-r1],11.2.1.8,v1.0.0.140611,423911 & 423044,http://mcrd1-5.corpnet.asus/code-review/master/137246, v1.0.0.140611 release: widget ja string for me581,e254422,
ME176C [dev/me176c/asus/4.4.2],K013-dev-debug-3.0.12.196,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui." into dev/me176c/asus/4.4.2,ba61577,
ME181C [dev/me181c/asus/4.4.2],K011-dev-debug-3.1.22.165,v1.0.0.140623,427762 & 428288 & 426329 & 384611 & 000618,, v1.0.0.140623 released! 1. Fix widget bug by restarting service; 2. Change asus.software.marketapp to asus.software.zenui." into dev/me181c/asus/4.4.2,02e232d,
