Account - out
Branch,Tags,APK Version,TT Bugs,Change Link,Message,Commit Id
AMAX_4.3 [AMAX-android_4.3_r2.1-master],010107_201310090103,,,http://mcrd1-5.corpnet.asus/code-review/master/102894,A86 power consumption issue_internal,39a6401,
AMAX_4.4 [AMAX_1.0-android_4.4],044000295_201407040034,V1.6.0.140701,,http://amax01:8080/137182, V1.6.0.140701 1. change WLAN to WiFi in traditional Chinese & English,0c68929,
A400CG_KK [CLVP_KK4.4_WW52_AMAX1.0_A400CG],044000275_201406060028,V1.6.23.140605,417193 &  419526 &  420518,http://amax01:8080/134822, V1.6.23.140605 1. A blank picture will appear is hit advance setting in setting of ASUS account; 2. add AuCloud function; 3. add translation of Japanese.,bf5af3c,
PF400CG_KK [CLVP_KK4.4_WW52_AMAX1.0_PF400CG],044000271_201406020029,,,http://amax01:8080/134256, Modify package name for AsusCommonService intergration.,0938ae3,
ME175CG_KK [CLVP_KK4.4_WW52_AMAX1.0_ME175CG],044000264_201405212359,,,http://amax01:8080/133305, rm Android.mk to avoid build break,ec15839,
ME372CL_KK [CLVP_KK4.4_WW52_AMAX1.0_ME372CL],044000281_201406160030,V1.6.0.140613,417193 &  419526 &  419987 &  420371 &  420518,http://amax01:8080/135582, V1.6.0.140613 1. add strings translation of Japanese;2. white blank picture will appear when hit HomeCloud or WebStorage in Advanced settings;3. OneDrive will crash when cancel security dialog; 4. toast pop up in a wrong way; 5. blank picture will appear if hit WebStorage or HomeCloud in Advanced Settings,672ebd6,
TX201LAF_KK [CLVP_KK4.4_WW52_AMAX1.0_TX201LAF],044000271_201406020029,,,http://amax01:8080/134256, Modify package name for AsusCommonService intergration.,0938ae3,
A91_LE_KK [KK-mr0-A91-11.10.0.27-LE],
A500KL_80MR [KK-mr1-A500KL-11.4.0.80-MR],044000271_201406020029,,,http://amax01:8080/134256, Modify package name for AsusCommonService intergration.,0938ae3,
TF103C [dev/tf103c/asus/4.4.2],
TF303CL_KK [kk-mr0-byt-r1],11.4.1.18,V1.6.0.140623,416504,http://mcrd1-5.corpnet.asus/code-review/master/140772, V1.6.0.140623 1. picture displayed unnormal when mobile insert into pad or pull out of pad; disable HomeCloud for Japanese;3. change login logic.,9efc6c7,
FE170CG/ME170C/ME70C/ME70CX [kk-mr0-ctp-r3],044000281_201406160030,V1.6.0.140613,417193 &  419526 &  419987 &  420371 &  420518,http://amax01:8080/135582, V1.6.0.140613 1. add strings translation of Japanese;2. white blank picture will appear when hit HomeCloud or WebStorage in Advanced settings;3. OneDrive will crash when cancel security dialog; 4. toast pop up in a wrong way; 5. blank picture will appear if hit WebStorage or HomeCloud in Advanced Settings,672ebd6,
TF303KL_KK [kk-mr1-8064-r1],11.12.1.10,V1.6.17.140527.,407398,http://mcrd1-5.corpnet.asus/code-review/master/134760, V1.6.17.140527. 1. Add integration logic in settings and FileManager.2. fix bug: QQ or WeiBo cannot login baidu; 3. fix bug : Play Store didn't translate to Japanese; 4. fix a new bug in last version: cannot limit signal account login. 5. fix Japanese translation wrong,696e5d6,
FE375CG_CXG [kk-mr1-moorefield_ds-r1],11.10.1.7,V1.6.0.140701,,http://mcrd1-5.corpnet.asus/code-review/master/141019, V1.6.0.140701 1. change WLAN to WiFi in English & tranditional Chinese,118d1a1,
FE375CG_CTA [kk-mr1-moorefield_ds-dev.11.10.0.49.1_CTA],11.10.0.49,V1.6.23.140605,417193 &  419526 &  420518,http://mcrd1-5.corpnet.asus/code-review/master/136198, V1.6.23.140605 1. A blank picture will appear is hit advance setting in setting of ASUS account; 2. add AuCloud function; 3. add translation of Japanese.,b406c80,
ME581CL_KK [kk-mr1-moorefield_64-dev],044000295_201407040034,V1.6.0.140701,,http://amax01:8080/137182, V1.6.0.140701 1. change WLAN to WiFi in traditional Chinese & English,0c68929,
ME581CL_KK_R2 [kk-mr1-moorefield_64-r2],11.8.2.8,V1.6.0.140623,416504,http://mcrd1-5.corpnet.asus/code-review/master/141360, V1.6.0.140623 1. picture displayed unnormal when mobile insert into pad or pull out of pad; disable HomeCloud for Japanese;3. change login logic,44c4a11,
